date,alert_type,status,severity,total_alerts,total_anomalies,egauge,register,created_by
2026-05-12,Production Anomaly,Open,HIGH,24,547,egauge90773,i11,AI Model
2026-05-13,Production Anomaly,Open,MEDIUM,30,119,egauge90773,i11,AI Model
2026-05-24,Production Anomaly,Open,HIGH,1,1008,egauge90773,i11,AI Model
2026-06-04,Production Anomaly,Open,HIGH,33,597,egauge90773,i11,AI Model
2026-06-05,Production Anomaly,Open,MEDIUM,3,112,egauge90773,i11,AI Model
2026-06-06,Production Anomaly,Open,HIGH,36,568,egauge90773,i11,AI Model
2026-06-07,Production Anomaly,Open,HIGH,36,520,egauge90773,i11,AI Model
2026-06-08,Production Anomaly,Open,HIGH,26,442,egauge90773,i11,AI Model
2026-06-17,Production Anomaly,Open,HIGH,18,485,egauge90773,i11,AI Model
2026-06-18,Production Anomaly,Open,HIGH,20,904,egauge90773,i11,AI Model
2026-06-20,Production Anomaly,Open,HIGH,35,739,egauge90773,i11,AI Model
2026-06-21,Production Anomaly,Open,MEDIUM,42,218,egauge90773,i11,AI Model
2026-06-22,Production Anomaly,Open,HIGH,28,357,egauge90773,i11,AI Model
2026-05-24,Non efficient,Open,Low,1,,egauge90773,i11,AI Model
2026-06-07,Non efficient,Open,Low,1,,egauge90773,i11,AI Model
2026-06-17,Non efficient,Open,Low,1,,egauge90773,i11,AI Model
2026-06-18,Non efficient,Open,Low,1,,egauge90773,i11,AI Model
2026-06-20,Non efficient,Open,Low,1,,egauge90773,i11,AI Model
